Fund Name,Verified,Logo URL,Local Logo Path,LinkedIn,Website,Who we are,Value add,Firm type,Global HQ,Branch office #1,Branch office #2,Branch office #3,Branch office #4,Branch office #5,Funding requirements,Funding stages,Lead,Check Size Min,Check Size Max,Check size,Target countries,Team,Source Page,Profile URL,Twitter,Who I am,Application periodicity,Typical terms,Time to money,Typical fee
Rail Supply Growth Fund,FALSE,./images/funds/recrethaYmeQPHNX8.jpg,logos/Rail_Supply_Growth_Fund.jpg,https://www.linkedin.com/company/finance-birmingham,https://www.financebirmingham.com/railsupplygrowthfund/,We are a fund dedicated to fostering strategic growth within this vital industry.,,VC,"Baskerville House, B1 2ND Birmingham, West Midlands, GB

+
−
Leaflet",,,,,,"We invest in initiatives supporting the rail supply sector, focusing on transportation and infrastructure development.",3. Early Revenue,,,,,UK,,532,fund/Rail%20Supply%20Growth%20Fund,,,,,,
Focus Opportunity Fund,FALSE,./images/funds/recrohfAiwrndE3ow.jpg,logos/Focus_Opportunity_Fund.jpg,https://www.linkedin.com/company-beta/44354/,http://www.focusopportunity.com,We are an opportunity fund dedicated to supporting the growth of private technology businesses.,,VC,"Palo Alto, California, United States",,,,,,"We invest in expansion-stage technology companies, especially those developing enterprise software.",5. Growth,,,,,USA,,533,fund/Focus%20Opportunity%20Fund,,,,,,
Stadia Ventures,TRUE,./images/funds/receg3u0XEJsgF3Hb.jpg,logos/Stadia_Ventures.jpg,https://www.linkedin.com/company/stadia-ventures/,http://www.stadiaventures.com/,,,VC,"383 Marshall Avenue, St. Louis, MO 63122, United States

+
−
Leaflet",,,,,,"We invest in early-stage startups in sports and esports that have defined product market fit, generally with ARR between $250k-$1MM.",3. Early Revenue; 4. Scaling,,50000,250000,$50k to $250k,Australia; Canada; India; Israel; New Zealand; South Africa; UK; USA,,533,fund/Stadia%20Ventures,,,,,,
eolos,FALSE,./images/funds/recOlqe0LgVmRTCFn.jpg,logos/eolos.jpg,https://www.linkedin.com/company/eolos/,https://www.eolos.org/,"We leverage our expertise in engineering, product and project management, and finance to support our ventures.",,VC,"Rosenthaler Straße 33, 10178 Berlin, BE, Berlin, DE

+
−
Leaflet",,,,,,"We invest in companies within the transportation, waste management, and renewable energy sectors.",3. Early Revenue,,,,,UK,,533,fund/eolos,,,,,,
BCF Ventures,TRUE,./images/funds/recUdCHHkINwdBNn4.jpg,logos/BCF_Ventures.jpg,https://www.linkedin.com/company/bcfventures/,https://bcfventures.vc/,,,Corporate VC,"1100 Boulevard René-Lévesque O, Montréal, Québec CA

+
−
Leaflet",,,,,,"We invest in B2B Cloud & SaaS Enterprise startups leveraging the power of Artificial Intelligence, Big Data, Analytics and Security. While we invest across industries, we have special attention to Finance, Healthcare, Education, Logistics & Supply Chain, Advanced Manufacturing, Transportation, and Aerospace.

We are passionate about disruptive technologies and the business opportunities that these create. We are looking for innovation pioneers challenging the status quo in traditional sectors, or dramatically improving legacy processes. The companies we fund must have some type of key science or technological innovation leading to the development of intellectual property rights.",3. Early Revenue; 4. Scaling,,50000,1000000,$50k to $1M,Canada; USA; Israel,Sergio Escobar (GP/MD); Bonnie C (Principal); Xavier Musto (Analyst),533,fund/BCF%20Ventures,,,,,,
Futureland Ventures,TRUE,./images/funds/recmTSEIMiB1epJU1.jpg,logos/Futureland_Ventures.jpg,https://www.linkedin.com/company/futureland-ventures/,https://www.futurelandventures.com/,,,VC,"Washington, DC",,,,,,"We invest in in transformative early-stage technology startups creating a more sustainable, resilient, and connected future. We are a venture capital syndicate that deploys capital to startups charting the future in the following sectors: mobility, climate, internet of things, proptech, security, with a technical focus on software, robotics, and artificial intelligence.

To maximize impact, futureland ventures generally invests at the pre-seed or seed stage of a company’s journey. As a founder-led firm, we deeply understand the challenges entrepreneurs face, now and beyond.

We invest in startups with exponential solutions, with mission-driven founders (and a clear vision), who are superior operators, having some early evidence of traction (i.e. mvp, revenue, partnerships) in large, growing, or unlocked markets.",3. Early Revenue; 4. Scaling; 2. Prototype,,75000,250000,$75k to $250k,USA,,533,fund/Futureland%20Ventures,,,,,,
Ipanema Ventures,FALSE,./images/funds/recojjQ4cDmmKW1zT.jpg,logos/Ipanema_Ventures.jpg,https://www.linkedin.com/company/ipanema-ventures-brazil,http://www.ipanemaventures.com.br,We are a venture capital firm.,,VC,"Rua Francisco Otaviano, Rio de Janeiro, BR",,,,,,We invest in early-stage ventures in Brazil.,3. Early Revenue; 4. Scaling,,,,,Brazil,,533,fund/Ipanema%20Ventures,,,,,,
HG Startup Ventures,FALSE,./images/funds/recSzpctHiejMPLsB.jpg,logos/HG_Startup_Ventures.jpg,https://www.linkedin.com/company/hoque-global-inc.,http://hoqueglobal.com,,,VC,"1717 Main St, 75201 Dallas, Texas, Texas, US

+
−
Leaflet",,,,,,We invest in technology.,3. Early Revenue,,,,,USA,,533,fund/HG%20Startup%20Ventures,,,,,,
Blackshield Capital Management,FALSE,./images/funds/rec1R1MA2BIyUPA17.jpg,logos/Blackshield_Capital_Management.jpg,https://www.linkedin.com/company/blackshieldcapital,https://www.blackshield.capital,We are a firm providing wealth management and transactional services to organizations and individuals.,,PE fund,"Miami, Florida, United States",,,,,,"We invest in asset management, banking, financial services, impact investing, wealthtech.",4. Scaling; 3. Early Revenue,,,,,Germany; Ukraine,,533,fund/Blackshield%20Capital%20Management,,,,,,
MFV Partners,TRUE,./images/funds/rec1GHFMhhMsPACfl.jpg,logos/MFV_Partners.jpg,https://www.linkedin.com/company/mfv-partners/,https://www.mfvpartners.com,,,VC,"300, 3rd Street, Suite 2, Los Altos, CA, 94022

+
−
Leaflet",,,,,,"We invest in Seed through Series A deep tech startups transforming large industries.

We look for proprietary technology that's hard to replicate which drives the primary competitive advantage for the company.

We invest across hardware components, full stack systems and software deep tech companies",2. Prototype; 3. Early Revenue,,500000,3000000,$500k to $3M,USA; Canada,,533,fund/MFV%20Partners,,,,,,
Revo Capital,TRUE,./images/funds/recuVus6YYpra0OML.jpg,logos/Revo_Capital.jpg,https://tr.linkedin.com/company/revo-capital,https://www.revo.vc/,,,VC,"Amsterdam, Netherlands",,,,,,"We invest in truly innovative, early-stage B2B or B2C technology ventures in Turkey, Eastern Europe & Baltics with €100k+ MRR, an impressive growth trajectory, veteran founders and a scalable, global vision.",5. Growth; 4. Scaling; 3. Early Revenue,,500000,7500000,$500k to $7.5M,Turkey; Estonia; Lithuania; Latvia; Poland; Greece; Serbia; Romania; Bulgaria; Ukraine; Hungary; Croatia; Slovakia; Slovenia; Moldova,,533,fund/Revo%20Capital,,,,,,
Rellevant Partners,FALSE,./images/funds/recrvAUrO0aS4nMmQ.jpg,logos/Rellevant_Partners.jpg,https://www.linkedin.com/company/rellevant/,https://rellevant.com/,We are a private equity firm with a female-founded leadership.,,PE fund,"10028 New York, NY, New York, US

+
−
Leaflet",,,,,,"We invest in the restaurant and F&B industries, focusing on lower middle market opportunities and impact.",3. Early Revenue; 4. Scaling,,,,,USA,,533,fund/Rellevant%20Partners,,,,,,
WI Ventures,FALSE,./images/funds/rec3nAAODiiUpQHuR.jpg,logos/WI_Ventures.jpg,https://www.linkedin.com/company/wealthylancer-india,https://wealthylancerindiaventures.godaddysites.com,,,VC,"Mumbai, Maharastra, Maharastra, IN",,,,,,"We Focus to connect with Passionate Entrepreneurs who work in large market Size areas. If you are working in AI-ML, Retail, Blockchain, Crypto, Fintech, Wealth Management, Edutech, Deep-Tech, and Software Based Startups.
WI Ventures focus on revenue-based Startups and Connect Entrepreneurs with 100+ VCs at the same time.",3. Early Revenue; 4. Scaling; 5. Growth,,500000,10000000,$500k to $10M,India; USA; UK; Switzerland; Canada; Vietnam; Singapore; Poland; Sweden; China; Czech Republic; Denmark; Finland; France,,533,fund/WI%20Ventures,,,,,,
Kopital Network,FALSE,./images/funds/reck1O7utXMkoqswJ.jpg,logos/Kopital_Network.jpg,https://www.linkedin.com/company/kopital-network/,https://kopitalnetwork.com/,,,Angel network,"jakarta, ID",,,,,,We invest in generalist.,2. Prototype,,,,,Indonesia,,533,fund/Kopital%20Network,,,,,,
Rebalance,FALSE,./images/funds/recRKpWCSnMz9ssGq.jpg,logos/Rebalance.jpg,https://www.linkedin.com/company/therebalance/,http://therebalance.com/,We are an accelerator dedicated to promoting accessibility and equity within the startup community.,,"Incubator, Accelerator","122001 Gurgaon, Haryana, Haryana, IN

+
−
Leaflet",,,,,,"We invest in early-stage companies led by female founders, fostering an inclusive ecosystem.",3. Early Revenue,,,,,India,,533,fund/Rebalance,,,,,,
PedalStart,FALSE,./images/funds/recDIwKWkgQT2sc5z.jpg,logos/PedalStart.jpg,https://www.linkedin.com/company/pedalstart/,https://pedalstart.com/,We are a firm dedicated to empowering entrepreneurs by connecting them with valuable networks.,,VC,"SpringHouse Coworking, 122004 Gurgaon, Haryana, Haryana, IN

+
−
Leaflet",,,,,,We invest in startups and entrepreneurial ventures.,3. Early Revenue,,,,,India,,533,fund/PedalStart,,,,,,
Stake Capital Group,FALSE,./images/funds/recBsDFjEJTCFh5ZY.jpg,logos/Stake_Capital_Group.jpg,https://www.linkedin.com/company/stake-capital,https://www.stake.capital,,,VC,"Luxembourg, LU",,,,,,We invest in companies leveraging blockchain technology and information technology solutions.,3. Early Revenue,,,,,France; Singapore,,534,fund/Stake%20Capital%20Group,,,,,,
W&W Brandpool,TRUE,./images/funds/recwN6mlTiV1IiItZ.jpg,logos/WW_Brandpool.jpg,https://www.linkedin.com/company/w&w-brandpool,https://www.ww-brandpool.com,,,Corporate VC,"Gutenbergstraße 30, Stuttgart, Baden-Württemberg 70176, DE

+
−
Leaflet",,,,,,"We invest in B2C and B2B2C startups covering the topic of precaution, such as Fintech, Mobility, Proptech, Edtech, Healthtech and all models targeting families.",4. Scaling; 5. Growth,,1000000,20000000,$1M to $20M,Germany; Switzerland; Austria,,534,fund/W%26W%20Brandpool,,,,,,
Kima Ventures,TRUE,./images/funds/recDqZxrqS9OUtezh.jpg,logos/Kima_Ventures.jpg,https://www.linkedin.com/company/kima-ventures/,https://www.kimaventures.com/,,,VC,"Paris, France",,,,,,"We invest in early-stage startups with strong tech DNA, founded by French founders wherever they're in the world. We're sector agnostic and investing one-off tickets of 150k€.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,,100000,200000,$100k to $200k,France; USA; UK; Germany,,534,fund/Kima%20Ventures,,,,,,
Verium AG,FALSE,./images/funds/rec3PswTVAmPSQEfG.jpg,logos/Verium_AG.jpg,https://www.linkedin.com/company/verium-ag/,http://www.verium.ch/,We are a management-owned multi-family office providing diverse services to entrepreneurial families.,,Family office,"Zurich, CH",,,,,,We invest in financial technology.,3. Early Revenue,,,,,Switzerland,,534,fund/Verium%20AG,,,,,,
Honghap Valley,FALSE,./images/funds/recbHqdSwGTThLlQd.jpg,logos/Honghap_Valley.jpg,https://www.linkedin.com/company/honghap-valley?trk=mini-profile,http://honghapvalley.org/,We are a cooperative community and organization supporting Korean startups.,,"Incubator, Accelerator","197-10 Donggyo-dong, Mapo-gu, 121-898 Seoul, KR

+
−
Leaflet",,,,,,"We invest in communities, digital media, and social media.",3. Early Revenue,,,,,South Korea,,534,fund/Honghap%20Valley,,,,,,
Refashiond Ventures,TRUE,./images/funds/reclQbNCfGrigId2Q.jpg,logos/Refashiond_Ventures.jpg,https://www.linkedin.com/company/refashiond/,https://www.refashiond.com/,,,VC,"424 4th Street, Elmont, NY, 11003

+
−
Leaflet",,,,,,"We invest in startups reinventing global, industrial supply chains through scalable networks, platforms, ecosystems, and information infrastructure; Defensible through economic moats.",3. Early Revenue; 4. Scaling; 2. Prototype,,25000,1000000,$25k to $1M,USA,Brian Aoaeh (GP/MD); Lisa Morales-Hellebo (GP/MD),534,fund/Refashiond%20Ventures,,,,,,
Investment One,FALSE,./images/funds/rec2v2jTfnkXhi6su.jpg,logos/Investment_One.jpg,https://www.linkedin.com/company/investmentone,https://investment-one.com,We are an entity offering a wide array of financial and advisory services.,,VC,"37, Kofo Abayomi Street, Lagos State, Lagos State, Lagos State, NG

+
−
Leaflet",,,,,,"We invest in fund management, stockbroking, venture capital, pension services, and consulting.",4. Scaling,,,,,Nigeria; South Africa,,534,fund/Investment%20One,,,,,,
Nicholas Investment Partners,FALSE,./images/funds/recfvEXa0kfZNcIB8.jpg,logos/Nicholas_Investment_Partners.jpg,https://www.linkedin.com/company/nicholas-investment-partners-l-p-/,https://www.nicpartners.com/,We are an investment management firm.,,PE fund,"6451 El Sicomoro St, 92067 Rancho Santa Fe, California, California, US

+
−
Leaflet",,,,,,We invest in companies within finance and financial services.,5. Growth,,,,,USA,,534,fund/Nicholas%20Investment%20Partners,,,,,,
N4 Partners,FALSE,./images/funds/recAeKtOK1q6ollNR.jpg,logos/N4_Partners.jpg,https://www.linkedin.com/company/n4-partners-llp/,https://n4partners.com/,We are an ambitious investment firm committed to backing promising businesses.,,VC,"310 St Vincent Street, G2 5RG Glasgow, Scotland, Scotland, GB

+
−
Leaflet",,,,,,We invest in aspiring companies through direct investments and third-party capital.,3. Early Revenue,,,,,UK,,534,fund/N4%20Partners,,,,,,
Geometry Venture Development,TRUE,./images/funds/recklI5aASbzT1Q99.jpg,logos/Geometry_Venture_Development.jpg,https://www.linkedin.com/company/geometryventuredev/,https://geometryventure.dev/,Rolling Fund + Syndicate Model with Modest Capital for Early Stage Startup Investors.,,VC,"İstanbul, Sarıyer 34450, TR

+
−
Leaflet",,,,,,"We invest in up to $250K in early-stage technology startups. We are interested in algorithms, platform tech, materials and IoT.",2. Prototype; 3. Early Revenue,,25000,200000,$25k to $200k,USA; Germany; UK; Turkey,Berkay Yavuz (Analyst); Melih Efeoğlu (GP/MD),534,fund/Geometry%20Venture%20Development,,,,,,
VNTR Capital,FALSE,./images/funds/recnJeFIda0nDbKeM.jpg,logos/VNTR_Capital.jpg,https://www.linkedin.com/company/vntrcap,https://www.vntr.vc,We are an investment syndicate and community for investors.,,Angel network,"19801 Wilmington, Delaware, Delaware, US

+
−
Leaflet",,,,,,We invest in fast-growing fintech startups.,5. Growth,,,,,Estonia; USA,,534,fund/VNTR%20Capital,,,,,,
Falkor,FALSE,./images/funds/recxcTol6YzJVlAlf.jpg,logos/Falkor.jpg,https://www.linkedin.com/company/falkor-sas,https://falkor.eu/,We are an investment fund.,,VC,"Marseille, FR",,,,,,"We invest in mission-oriented companies, focusing on environmental and renewable energy solutions.",3. Early Revenue,,,,,UK,,534,fund/Falkor,,,,,,
Legacy Capital Partners,FALSE,./images/funds/recF9xggBXLsIOCw3.jpg,logos/Legacy_Capital_Partners.jpg,https://www.linkedin.com/company/legacy-capital-partners,http://www.legacycapitalpartners.com,We are an investment firm primarily focused on real estate.,,VC,"80202 Denver, CO, Colorado, US

+
−
Leaflet",,,,,,We invest in the real estate market.,4. Scaling,,,,,USA,,534,fund/Legacy%20Capital%20Partners,,,,,,
Golden Ventures,FALSE,./images/funds/recJ5FWvsMcRpv1iG.jpg,logos/Golden_Ventures.jpg,https://ca.linkedin.com/company/goldenventures,https://golden.ventures,,,VC,"20 Maud Street, Suite 306, Toronto, Ontario M5V 2M5, CA

+
−
Leaflet",,,,,,We invest in North America at Seed stage across all sectors.,2. Prototype; 3. Early Revenue; 1. Idea or Patent,,400000,2000000,$400k to $2M,USA; Canada,,534,fund/Golden%20Ventures,,,,,,
LBANK Labs,FALSE,./images/funds/recL00akuHWHhyVbL.jpg,logos/LBANK_Labs.jpg,https://www.linkedin.com/company/lbank-labs,https://www.lbanklabs.com,,,VC,"95 3rd St, 94103 San Francisco, California, California, US

+
−
Leaflet",,,,,,We invest in diverse companies as an investment firm.,4. Scaling,,,,,USA,,535,fund/LBANK%20Labs,,,,,,
Longship,FALSE,./images/funds/recQFNNZSIyOyqCYG.jpg,logos/Longship.jpg,https://www.linkedin.com/company/longship-as,http://www.longship.no/,We are a private equity firm.,,PE fund,"Akersgata 35, 0158 Oslo, NO

+
−
Leaflet",,,,,,We invest in companies exhibiting strong growth potential.,3. Early Revenue,,,,,Norway,,535,fund/Longship,,,,,,
AC+X Strategic Investments,FALSE,./images/funds/recS70ECajEYo5oYe.jpg,logos/ACX_Strategic_Investments.jpg,https://www.linkedin.com/company/ac-x,https://www.acx-invest.de,We are curious about future innovations for urban environments.,,VC,"Oppenheimstraße 9, 50668 Köln, Nordrhein-Westfalen, Nordrhein-Westfalen, DE

+
−
Leaflet",,,,,,"We invest in real estate, retail, smart cities, and technology.",4. Scaling,,,,,Germany; India,,535,fund/AC%2BX%20Strategic%20Investments,,,,,,
Ginkgo Equity,TRUE,./images/funds/recipiqJZPojngELP.jpg,logos/Ginkgo_Equity.jpg,https://www.linkedin.com/company/ginkgo-equity/,https://ginkgo-equity.com/,,,VC,"Unter den LInden 24, 10117 Berlin, Germany

+
−
Leaflet",,,,,,We invest in startups that are not the next unicorn and have therefore difficulties raising from traditional VCs. Focus is B2B products in any industry (no biotech / life sciences). Niche B2C works as well.,4. Scaling; 5. Growth,,1000000,10000000,$1M to $10M,Germany; UK; Austria; Switzerland; Netherlands,,535,fund/Ginkgo%20Equity,,,,,,
Mibiton Foundation,FALSE,./images/funds/recu4cAIdCGvb77oS.jpg,logos/Mibiton_Foundation.jpg,https://www.linkedin.com/company/mibiton-foundation,https://www.mibiton.nl/,We are a foundation actively supporting the Dutch life sciences sector.,,VC,"Loire 150, 2491AK The Haque, NL

+
−
Leaflet",,,,,,We invest in life sciences businesses.,4. Scaling,,,,,Netherlands,,535,fund/Mibiton%20Foundation,,,,,,
Industrifonden,TRUE,./images/funds/recW1CYNaGt3VEt4I.jpg,logos/Industrifonden.jpg,https://www.linkedin.com/company/industrifonden/,https://www.industrifonden.com/,,,VC,"Vasagatan 11, Stockholm, 111 91, SE

+
−
Leaflet",,,,,,"We invest in three main areas: Deep Tech, Life Science, and Transformative Tech (primarily ventures with Swedish connection but also across Nordics):

Deep Tech
Science and emerging technologies that have the potential to fundamentally transform industries and societies. We focus on deep tech verticals like advanced materials, industry 4.0, energy, quantum computing, AI, synthetic biology, and more.

Life Science
We support the commercialisation of products and services, grounded in solid science, which convincingly address an unmet medical need, and where we also see a willingness to pay for innovation that makes a clinical difference. We have expertise, in particular, in biotech, medtech and healthtech.

Transformative Tech
Transformative Tech includes innovative business models and novel implementations of established technologies that enable industrial transformation and sustainable value creation. We are agnostic regarding industry verticals but stay within the B2B-space and look for founders with deep and credible insights within their focus area.",3. Early Revenue,,1000000,5000000,$1M to $5M,Sweden; Denmark; Norway; Finland,,535,fund/Industrifonden,,,,,,
Anthropocene Ventures,TRUE,./images/funds/rec35u0OHYDFQ2Gnf.jpg,logos/Anthropocene_Ventures.jpg,https://www.linkedin.com/company/anthropocene-ventures,https://anthro.ventures,,,VC,"1 Ferry Building, San Francisco CA 94110

+
−
Leaflet",,,,,,We invest in hard science ClimateTech companies globally.,1. Idea or Patent; 2. Prototype; 3. Early Revenue,,100000,3000000,$100k to $3M,USA,Matt McGraw (GP/MD),535,fund/Anthropocene%20Ventures,,,,,,
Engineering Capital,TRUE,./images/funds/recjtegNOHIV0VEZD.jpg,logos/Engineering_Capital.jpg,https://www.linkedin.com/company/engineering-capital/,https://www.engineeringcapital.com/,,,VC,"3000 Sand Hill Road #1-140, Menlo Park, CA 94025

+
−
Leaflet",,,,,,We invest in software companies which have a technical insight and are taking technical risk (as further described here: https://www.engineeringcapital.com/essays/technical-insight),2. Prototype; 1. Idea or Patent; 3. Early Revenue,,300000,1500000,$300k to $1.5M,USA,,535,fund/Engineering%20Capital,,,,,,
Bluefield Investments,FALSE,./images/funds/recse7A5SZe9W803I.jpg,logos/Bluefield_Investments.jpg,https://www.linkedin.com/company/1213976,http://www.bluefieldllp.com,We provide project and infrastructure finance services.,,VC,"6 New Street Square, EC4A 3BF London, London, GB

+
−
Leaflet",,,,,,"We invest in finance, infrastructure.",3. Early Revenue,,,,,USA,,535,fund/Bluefield%20Investments,,,,,,
to.org,FALSE,./images/funds/recyjv316IoeI6zkI.jpg,logos/toorg.jpg,https://www.linkedin.com/company/toorg/,https://to.org/,We are a civic and social organization.,,VC,"3780 Gstaad, Saanen, CH

+
−
Leaflet",,,,,,We invest in civic tech.,2. Prototype; 3. Early Revenue,,,,,Senegal; UK,,535,fund/to.org,,,,,,
Future Communities Capital,FALSE,./images/funds/recgQE75IafyikEsN.jpg,logos/Future_Communities_Capital.jpg,https://www.linkedin.com/company/future-communities,https://www.futurecommunities.vc/,We are a venture capital firm supporting innovative solutions for societal advancement.,,VC,"Berkeley, CA, California, US",,,,,,We invest in technology-based companies shaping the future of communities.,3. Early Revenue; 4. Scaling,,,,,USA,,535,fund/Future%20Communities%20Capital,,,,,,
SBV Capital,FALSE,./images/funds/recoOgZzKhBC6M78i.jpg,logos/SBV_Capital.jpg,https://www.linkedin.com/company/spectrum-business-ventures-inc-,http://sbv.com/,We provide capital solutions for our portfolio companies.,,VC,"420 Nichols Road, 64112 Kansas City, MO, Missouri, US

+
−
Leaflet",,,,,,We invest in companies to support their growth.,4. Scaling; 5. Growth,,,,,South Korea; USA,,535,fund/SBV%20Capital,,,,,,
Centrepolis Accelerator,TRUE,./images/funds/recLmAtpiEOlYaI8h.jpg,logos/Centrepolis_Accelerator.jpg,https://www.linkedin.com/company/centrepolisaccelerator/,https://www.centrepolisaccelerator.com/,,,"Incubator, Accelerator","21415 CIVIC CENTER DRIVE, SUITE 100; SOUTHFIELD, MI 48076

+
−
Leaflet",,,,,,"We invest in early-stage and growth stage i4.0, cleantech, climatech, and circular economy businesses and drive adoption of their technology in Michigan. This includes supporting the development and manufacturing of these products to achieve significant economic multiplier effect and sustain Michigan’s global competitiveness",2. Prototype; 3. Early Revenue; 1. Idea or Patent,,50000,150000,$50k to $150k,USA; Israel; Canada; Norway; Germany; Switzerland; Sweden; Netherlands; Italy; UK,Phillip Swanson (Principal); Gret Radomski (Other),535,fund/Centrepolis%20Accelerator,,,All year round,We invest up to $150k in SAFEs or $100k in non-dilutive 0% interest loans paid back after 24 months with a success fee based on income,,
Equite,FALSE,./images/funds/recxOJg3wjrTuEhSk.jpg,logos/Equite.jpg,https://www.linkedin.com/company/equite-lt/,https://equite.lt/,We are a private firm specializing in diverse alternative asset investments.,,VC,"A. Domaševičiaus g. 9, LT-01400 Vilnius, LT

+
−
Leaflet",,,,,,"We invest in finance, SMB.",3. Early Revenue,,,,,Lithuania,,535,fund/Equite,,,,,,
Expert Dojo,TRUE,./images/funds/rectuAHYJNJ9dV8Vw.jpg,logos/Expert_Dojo.jpg,https://www.linkedin.com/company/expert-dojo,https://expertdojo.com/,"Startup accelerator focusing on hyper growth. Expert DOJO participates in pre-seed and seed investments, and helping founders get to Series A and beyond.","Growth Strategy, Marketing, Investments, Branding","Incubator, Accelerator","395 Santa Monica Place, Santa Monica, CA 90405, United States

+
−
Leaflet",,,,,,"We invest in Fintech, IoT, BioTech, Health Care, Healthtech, SaaS, web3, Decarbonization, CPG, Software, Tech.",3. Early Revenue; 4. Scaling; 5. Growth,,25000,100000,$25k to $100k,Central African Republic; Côte d'Ivoire; Ethiopia; Kenya; South Africa; Argentina; Brazil; Canada; Chile; Mexico; USA; China; India; Philippines; Estonia; France; Germany; Netherlands; Sweden; Switzerland; UK; Ukraine; Egypt; Israel; Australia,Ashton Ware (VP),536,fund/Expert%20Dojo,,,All year round,"We invest $25,000 to $100,000 with pre-seed and seed investments, and also participate investing $1,000,000 in Series A",,
"Sunlight Capital Group, LLC",FALSE,./images/funds/recyhsCC2KDbISyBB.jpg,logos/Sunlight_Capital_Group_LLC.jpg,https://www.linkedin.com/company/10108517,http://www.sunlight-capital.com/,We are a private investment firm focused on operating companies with a proven history.,,PE fund,"39 Mesa St. Suite 102, 94129 San Francisco, CA, California, US

+
−
Leaflet",,,,,,We invest in financial services.,3. Early Revenue,,,,,India,,536,fund/Sunlight%20Capital%20Group%2C%20LLC,,,,,,
Grafton Street Partners,FALSE,./images/funds/recCak4EgZRnbKIMQ.jpg,logos/Grafton_Street_Partners.jpg,https://www.linkedin.com/company/grafton-street-partners-fund/,https://www.graftonstreetpartners.com/,We are an equity-focused public/private evergreen investment fund.,,PE fund,"Chicago, Illinois, Illinois, US",,,,,,We invest in various sectors.,3. Early Revenue,,,,,USA,,536,fund/Grafton%20Street%20Partners,,,,,,
SaaS Ventures,TRUE,./images/funds/recyBCdmE3OUzzBob.jpg,logos/SaaS_Ventures.jpg,https://www.linkedin.com/company/saas-venture-capital/,https://www.saasventurecapital.com/,,,VC,"7920 Norfolk Ave, #1150, Bethesda, MD, 20814

+
−
Leaflet",,,,,,"We invest in B2B, enterprise-focused, recurring revenue (pure SaaS, transactional, marketplaces) startups based outside of Tier 1 markets (SF, NY, Boston).",1. Idea or Patent; 2. Prototype; 3. Early Revenue; 4. Scaling,,200000,350000,$200k to $350k,USA; Canada,,536,fund/SaaS%20Ventures,,,,,,
Ethos Capital Partners,FALSE,./images/funds/recXUrXoLQKfQqmLE.jpg,logos/Ethos_Capital_Partners.jpg,https://www.linkedin.com/company-beta/1367092/,http://www.ethoscapital.mu/,We are a capital partner focused on generating long-term returns.,,PE fund,"Ebène, Plaines Wilhems, Mauritius",,,,,,We invest in a diversified portfolio of unlisted investments for long-term capital appreciation.,2. Prototype,,,,,Spain,,536,fund/Ethos%20Capital%20Partners,,,,,,
MAINStream,FALSE,./images/funds/recS3jnAMhVsFNYEr.jpg,logos/MAINStream.jpg,https://www.linkedin.com/showcase/michelmores-mainstream,https://www.michelmores.com/mainstream/,We are a network supporting business angel investors.,,Angel network,"Exeter, Devon, United Kingdom",,,,,,We invest in various business opportunities.,3. Early Revenue,,,,,UK,,536,fund/MAINStream,,,,,,
Tampa Bay WaVE,FALSE,./images/funds/rec4B7GADqsBcMJzp.jpg,logos/Tampa_Bay_WaVE.jpg,http://www.linkedin.com/company/2355259,http://tampabaywave.org,We are a non-profit organization that assists entrepreneurs.,,"Incubator, Accelerator","501 E. Kennedy Blvd., 33602 Tampa, FL, Florida, US

+
−
Leaflet",,,,,,We invest in mobile applications and related technologies.,3. Early Revenue,,,,,USA,,536,fund/Tampa%20Bay%20WaVE,,,,,,
Faro Capital,FALSE,./images/funds/recuKvybXqQJsZavL.jpg,logos/Faro_Capital.jpg,https://www.linkedin.com/company/faro-capital-sa,http://www.farocapital.com/,We are a private equity firm with a focus on South American agriculture.,,PE fund,"Juana Manso 205, piso 7º, C1107CBE Buenos Aires, C.A.B.A., AR

+
−
Leaflet",,,,,,We invest in the agriculture sector.,4. Scaling; 3. Early Revenue,,,,,Sweden,,536,fund/Faro%20Capital,,,,,,
Volo Ventures,FALSE,./images/funds/rec7rACDMEDzoNf4n.jpg,logos/Volo_Ventures.jpg,https://www.linkedin.com/company/volo-ventures/,https://voloventures.co/,,,VC,"Bend, Oregon, United States",,,,,,We invest in a variety of ventures.,3. Early Revenue,,,,,USA,,536,fund/Volo%20Ventures,,,,,,
The Taken Seat,FALSE,./images/funds/recyNSECJIUXM8VX7.jpg,logos/The_Taken_Seat.jpg,https://www.linkedin.com/company/the-taken-seat,https://www.thetakenseat.com/,"We are a venture builder focused on incubating, launching, and scaling new businesses, particularly in the Middle East.",,VC,"Kuwait City, Kuwait, KW",,,,,,We invest in and build disruptive ventures.,3. Early Revenue,,,,,Kuwait,,536,fund/The%20Taken%20Seat,,,,,,
SUNeVision Ventures,FALSE,./images/funds/recPJxEbjFV4RxK8z.jpg,logos/SUNeVision_Ventures.jpg,https://www.linkedin.com/company/sunevision-holdings-ltd.,http://www.sunevision.com,We are a venture that utilizes the strengths of Sun Hung Kai Properties' technology assets.,,VC,"00000 Hong Kong, Hong Kong, HK",,,,,,"We invest in TMT and asset management, leveraging principal technology assets.",4. Scaling; 5. Growth,,,,,China; USA,,536,fund/SUNeVision%20Ventures,,,,,,
